,Benchmark,MA Strategy,HY Timing,MRAS
Total Return [%],34.38854430581854,39.86988803234898,28.231673694412507,30.941558698096035
Annualized Return [%],,,,
Annualized Volatility [%],,,,
Sharpe Ratio,1.0440428094859913,2.018065313993403,1.3733606362056034,2.125446113126167
Max Drawdown [%],15.48115937634865,4.830855445688713,9.229954016533474,1.7762736971203292
Calmar Ratio,0.11915668543750897,0.43404114725723686,0.16790297435645182,0.9464511311477737
Sortino Ratio,1.3814083099589283,3.316893134794686,2.0696955239285724,3.6772406920042053
