,Benchmark,MA Strategy,HY Timing,MRAS
Total Return [%],34.38854430581917,39.8698880323479,28.231673694413175,30.941558698096117
Annualized Return [%],1.8446836380155096,2.096790039880636,1.549736732549234,1.6811562498675992
Annualized Volatility [%],1.7657651463983977,1.0309273683998375,1.124396807897936,0.7858607016634075
Sharpe Ratio,1.0440428094859913,2.018065313993403,1.3733606362056034,2.125446113126167
Max Drawdown [%],15.481159376348568,4.8308554456888055,9.229954016533378,1.7762736971203466
Calmar Ratio,0.11915668543750897,0.43404114725723686,0.16790297435645182,0.9464511311477737
Sortino Ratio,1.3814083099589283,3.316893134794686,2.0696955239285724,3.6772406920042053
