Date,cad_ig_er_ytd_index,us_hy_er_ytd_index,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime
2002-10-31,99.76915000000001,81.01765699999999,86.896937,1001.548411,253.069203,6248.79,31.14,353.472,0.09781,-0.01729,3.5,0.2097,-0.29,0.85
2002-11-01,100.00572200000002,81.426533,96.391472,1007.21119,246.37556,6321.4,29.3,361.891,0.09228,-0.05664,3.5,0.1596,-0.36,0.85
2002-11-04,100.01889800000001,81.978501,97.038166,998.114405,238.348497,6432.65,30.82,362.832,0.11054,-0.05636,3.5,0.1661,-0.36,0.85
2002-11-05,100.14730700000003,82.21035399999998,98.000565,993.579009,236.329661,6399.64,31.23,366.201,0.10998,-0.05608,3.5,0.1661,-0.36,0.85
2002-11-06,100.15954100000002,82.21260299999997,89.366061,994.22498,232.232518,6437.91,30.73,383.198,0.10943,-0.0558,3.5,0.1661,-0.36,0.85
2002-11-07,100.18857100000002,82.07682799999998,81.672569,997.955628,232.005865,6384.42,31.42,367.137,0.13218,-0.02248,3.5,0.1863,-0.36,0.85
2002-11-08,100.26358800000001,81.95070999999999,87.993516,1000.515376,232.402626,6390.01,29.41,357.648,0.13152,-0.02237,3.5,0.1863,-0.32,0.85
2002-11-12,100.31844200000002,82.20167699999999,87.299892,998.513296,235.378402,6329.72,30.58,358.848,0.13021,-0.02214,3.5,0.1863,-0.32,0.85
2002-11-13,100.33181300000003,82.13466399999999,88.671924,1000.538318,236.0894,6301.78,31.24,357.765,0.12956,-0.02203,3.5,0.1863,-0.32,0.85
2002-11-14,100.48757300000003,83.40355199999998,96.286476,966.345388,225.686869,6370.91,28.67,374.147,0.13965,-0.02788,3.5,0.2404,-0.32,0.85
2002-11-15,100.40472000000003,84.092147,82.369016,945.8584,215.088908,6457.42,26.65,369.1,0.16385,-0.02774,3.5,0.1597,-0.25,0.85
2002-11-18,100.52452400000003,84.33844699999999,76.369884,941.069392,212.4399,6484.98,27.66,365.055,0.16303,-0.0276,3.5,0.1597,-0.25,0.85
2002-11-19,100.57088100000003,84.33713499999999,77.030159,941.571405,212.766577,6423.65,27.41,364.685,0.15954,-0.02746,3.5,0.1597,-0.25,0.85
2002-11-20,100.69364200000001,84.91232499999998,81.092708,920.971748,211.203732,6493.14,25.32,373.282,0.16396,-0.02732,3.5,0.0291,-0.25,0.85
2002-11-21,100.74347100000003,85.71254499999998,84.21191,904.286712,206.285945,6567.83,23.81,381.045,0.18176,-0.02719,3.5,0.0395,-0.25,0.85
2002-11-22,101.02165200000002,85.94780799999997,75.192704,900.047745,206.005752,6553.89,23.16,380.373,0.18085,-0.02705,3.5,0.0395,-0.24,0.85
2002-11-25,100.65318300000001,86.04090999999997,74.135251,901.518277,205.444218,6578.16,24.07,379.925,0.17994,-0.02691,3.5,0.0395,-0.24,0.85
2002-11-26,100.60525300000003,85.56448299999997,69.55112,911.508422,205.697345,6477.77,25.97,372.639,0.19177,-0.02678,3.5,0.0007,-0.24,0.85
2002-11-27,100.73895300000002,88.04842099999996,85.865028,855.924473,200.921361,6604.25,27.25,389.483,0.21785,-0.01661,3.5,0.0684,-0.24,0.85
2002-11-29,100.64621500000001,87.99833799999996,69.815295,855.874649,197.529894,6570.42,27.5,383.97,0.21568,-0.01644,3.5,0.0684,-0.22,0.85
2002-12-02,100.76814600000002,88.17532899999998,78.36729,844.134496,189.105458,6665.34,27.46,382.116,0.19993,-0.02599,3.5,0.0684,-0.22,0.99
2002-12-03,100.73493400000002,88.30481999999998,75.48233,838.736846,189.137868,6640.61,28.33,380.605,0.19893,-0.02586,3.5,0.0455,-0.22,0.99
2002-12-04,100.72319300000004,88.00411399999997,73.277887,838.520238,191.427944,6610.36,28.92,378.68,0.19598,-0.03176,3.5,0.0335,-0.22,0.99
2002-12-05,100.70543400000003,87.77851299999998,85.723808,843.535481,192.047223,6541.97,30.1,377.903,0.19734,-0.0316,3.5,0.04,-0.22,0.99
2002-12-06,100.78900700000003,87.53839099999998,75.540769,842.128274,194.735086,6577.2,28.88,377.509,0.16686,-0.03144,3.5,-0.164,-0.25,0.99
2002-12-09,100.73124100000001,87.32735699999998,72.54372,845.469594,195.766546,6504.09,30.78,372.24,0.16603,-0.03128,3.5,-0.164,-0.25,0.99
2002-12-10,100.79734800000001,87.32500899999998,78.230764,846.708156,196.948777,6597.2,28.76,370.512,0.14624,-0.03113,3.5,-0.0978,-0.25,0.99
2002-12-11,100.75406500000001,87.00828999999997,75.889689,853.646349,197.172623,6587.25,27.76,367.855,0.14551,-0.03097,3.5,-0.0978,-0.25,0.99
2002-12-12,100.79814100000002,87.01487999999996,78.385249,855.285821,195.503067,6637.08,27.29,368.966,0.14007,-0.07248,3.5,-0.0896,-0.25,0.99
2002-12-13,100.80176400000002,87.33810299999996,77.546012,849.853314,189.507159,6664.26,28.18,374.673,0.14766,-0.07211,3.5,-0.0791,-0.2,0.99
2002-12-16,100.79926800000003,87.74416199999997,79.693787,839.009676,188.182391,6724.37,26.24,379.585,0.15344,-0.07175,3.5,-0.0791,-0.2,0.99
2002-12-17,100.80651300000002,87.72304699999997,74.152008,840.663104,186.853988,6621.52,26.66,382.266,0.15953,-0.09451,3.5,-0.0616,-0.2,0.99
2002-12-18,100.80210500000003,87.39639199999996,73.032548,845.325821,187.225869,6560.93,28.29,377.455,0.16678,-0.09403,3.5,-0.0616,-0.2,0.99
2002-12-19,100.79274100000002,86.98148499999996,74.475769,851.311985,188.480787,6536.97,30.21,372.233,0.17265,-0.09356,3.5,-0.0682,-0.2,0.99
2002-12-20,100.84145000000002,86.97968299999997,78.323203,851.588818,188.516947,6560.62,26.71,372.326,0.17179,-0.0931,3.5,-0.0682,-0.27,0.99
2002-12-23,100.85964600000001,87.07856799999996,79.113424,850.483007,188.510164,6628.25,26.2,373.128,0.17268,-0.08958,3.5,-0.0238,-0.27,0.99
2002-12-24,100.82387200000002,86.86267299999997,72.751952,855.525268,189.39685,6609.12,26.49,369.344,0.14154,-0.08914,3.5,-0.0523,-0.27,0.99
2002-12-26,100.85964200000002,86.86298499999998,76.675301,856.182247,190.004902,6609.12,27.37,368.475,0.14433,-0.08825,3.5,-0.0425,-0.27,0.99
2002-12-27,100.82967700000003,86.41709499999997,70.781046,865.888471,188.454058,6595.83,29.55,362.659,0.1612,-0.08781,3.5,0.0047,-0.24,0.99
2002-12-30,100.85449900000003,86.59715299999998,76.070632,863.815194,188.184756,6617.55,29.62,357.356,0.15521,-0.08737,3.5,0.0047,-0.24,0.99
2002-12-31,100.89157500000002,86.70834499999998,77.339824,860.768757,187.298322,6614.54,28.62,358.207,0.13698,-0.08693,3.1,0.0047,-0.24,0.88
2003-01-02,100.94035405868101,87.63298198107717,89.348354,828.700792,181.347919,6740.05,25.39,375.181,0.17033,-0.08065,3.1,-0.0069,-0.24,0.88
2003-01-03,100.83738916181476,87.71013680062507,80.219762,827.335385,180.472805,6772.66,24.68,373.292,0.22572,-0.08024,3.1,0.0535,-0.22,0.88
2003-01-06,100.82480697349652,88.09376573390927,80.882837,817.317741,178.415261,6837.27,24.91,377.664,0.22459,-0.07984,3.1,0.0535,-0.22,0.88
2003-01-07,100.786918151421,88.30596446537741,72.999941,811.554455,175.673577,6802.78,25.13,376.029,0.22079,-0.07944,3.1,0.047,-0.22,0.88
2003-01-08,100.85755738765725,88.57600633379508,74.85064,808.751922,175.588072,6723.11,25.53,375.706,0.20749,-0.07905,3.1,-0.0292,-0.22,0.88
2003-01-09,100.98431251790849,89.55071825119322,84.619164,784.815933,174.58307,6772.18,24.25,387.159,0.20723,-0.07865,3.1,-0.0175,-0.22,0.88
2003-01-10,100.95941853069301,89.65086465550131,75.472238,783.047302,174.765636,6801.77,24.32,385.058,0.18952,-0.07826,3.1,-0.0849,-0.12,0.88
2003-01-13,101.01554854952852,89.69581339446584,76.3161,783.735,171.506737,6809.88,24.9,383.07,0.18858,-0.07787,3.1,-0.0849,-0.12,0.88
2003-01-14,101.00239632381151,90.13711204800956,73.740211,770.20452,170.825677,6810.98,24.57,381.36,0.17805,-0.07748,3.1,-0.1415,-0.12,0.88
2003-01-15,100.98238347099453,90.49202577868012,76.456647,761.772406,167.473849,6801.41,25.51,378.005,0.19629,-0.07709,3.1,-0.1449,-0.12,0.88
2003-01-16,101.02627433286679,90.51041748573805,71.839769,761.88706,168.952392,6827.02,25.01,380.699,0.2033,-0.09982,3.1,-0.1283,-0.12,0.88
2003-01-17,101.01333397945731,90.29746786000219,70.042103,767.224092,169.459193,6755.92,25.7,376.513,0.14375,-0.09932,3.1,-0.1583,-0.21,0.88
