Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index
2002-11-25,74.135251,901.518277,205.444218,6578.16,24.07,379.925,0.17994,-0.02691,3.5,0.0395,-0.24,0.85,100.65318299999998,86.04091,96.842629
2002-11-26,69.55112,911.508422,205.697345,6477.77,25.97,372.639,0.19177,-0.02678,3.5,0.0007,-0.24,0.85,100.605253,85.564483,96.792809
2002-11-27,85.865028,855.924473,200.921361,6604.25,27.25,389.483,0.21785,-0.01661,3.5,0.0684,-0.24,0.85,100.738953,88.048421,97.046564
2002-11-28,85.865028,855.924473,200.921361,6629.37,27.25,389.483,0.21676,-0.01652,3.5,0.0684,-0.24,0.85,100.738953,88.048421,97.046564
2002-11-29,69.815295,855.874649,197.529894,6570.42,27.5,383.97,0.21568,-0.01644,3.5,0.0684,-0.22,0.85,100.646215,87.998338,97.196903
2002-11-30,69.815295,855.874649,197.529894,6570.42,27.5,383.97,0.21568,-0.01644,3.5,0.0684,-0.22,0.99,100.646215,87.998338,97.196903
2002-12-02,78.36729,844.134496,189.105458,6665.34,27.46,382.116,0.19993,-0.02599,3.5,0.0684,-0.22,0.99,100.76814599999999,88.175329,97.375168
2002-12-03,75.48233,838.736846,189.137868,6640.61,28.33,380.605,0.19893,-0.02586,3.5,0.0455,-0.22,0.99,100.734934,88.30481999999999,97.352289
2002-12-04,73.277887,838.520238,191.427944,6610.36,28.92,378.68,0.19598,-0.03176,3.5,0.0335,-0.22,0.99,100.72319300000001,88.004114,97.193782
2002-12-05,85.723808,843.535481,192.047223,6541.97,30.1,377.903,0.19734,-0.0316,3.5,0.04,-0.22,0.99,100.70543400000001,87.778513,97.138493
2002-12-06,75.540769,842.128274,194.735086,6577.2,28.88,377.509,0.16686,-0.03144,3.5,-0.164,-0.25,0.99,100.789007,87.538391,96.966964
2002-12-09,72.54372,845.469594,195.766546,6504.09,30.78,372.24,0.16603,-0.03128,3.5,-0.164,-0.25,0.99,100.731241,87.327357,96.91086
2002-12-10,78.230764,846.708156,196.948777,6597.2,28.76,370.512,0.14624,-0.03113,3.5,-0.0978,-0.25,0.99,100.797348,87.325009,96.848207
2002-12-11,75.889689,853.646349,197.172623,6587.25,27.76,367.855,0.14551,-0.03097,3.5,-0.0978,-0.25,0.99,100.754065,87.00829,96.85519500000001
2002-12-12,78.385249,855.285821,195.503067,6637.08,27.29,368.966,0.14007,-0.07248,3.5,-0.0896,-0.25,0.99,100.798141,87.01487999999999,96.97705599999999
2002-12-13,77.546012,849.853314,189.507159,6664.26,28.18,374.673,0.14766,-0.07211,3.5,-0.0791,-0.2,0.99,100.801764,87.338103,97.340739
2002-12-16,79.693787,839.009676,188.182391,6724.37,26.24,379.585,0.15344,-0.07175,3.5,-0.0791,-0.2,0.99,100.79926800000001,87.744162,97.45264900000001
2002-12-17,74.152008,840.663104,186.853988,6621.52,26.66,382.266,0.15953,-0.09451,3.5,-0.0616,-0.2,0.99,100.80651300000001,87.723047,97.53696699999999
2002-12-18,73.032548,845.325821,187.225869,6560.93,28.29,377.455,0.16678,-0.09403,3.5,-0.0616,-0.2,0.99,100.802105,87.396392,97.534279
2002-12-19,74.475769,851.311985,188.480787,6536.97,30.21,372.233,0.17265,-0.09356,3.5,-0.0682,-0.2,0.99,100.79274099999999,86.981485,97.46208899999999
2002-12-20,78.323203,851.588818,188.516947,6560.62,26.71,372.326,0.17179,-0.0931,3.5,-0.0682,-0.27,0.99,100.84145,86.979683,97.467864
2002-12-23,79.113424,850.483007,188.510164,6628.25,26.2,373.128,0.17268,-0.08958,3.5,-0.0238,-0.27,0.99,100.859646,87.078568,97.49130099999999
2002-12-24,72.751952,855.525268,189.39685,6609.12,26.49,369.344,0.14154,-0.08914,3.5,-0.0523,-0.27,0.99,100.82387200000001,86.862673,97.436493
2002-12-25,72.751952,855.525268,189.39685,6609.12,26.49,369.344,0.14083,-0.08869,3.5,-0.0523,-0.27,0.99,100.82387200000001,86.862673,97.436493
2002-12-26,76.675301,856.182247,190.004902,6609.12,27.37,368.475,0.14433,-0.08825,3.5,-0.0425,-0.27,0.99,100.859642,86.86298500000001,97.398132
2002-12-27,70.781046,865.888471,188.454058,6595.83,29.55,362.659,0.1612,-0.08781,3.5,0.0047,-0.24,0.99,100.829677,86.417095,97.468933
2002-12-30,76.070632,863.815194,188.184756,6617.55,29.62,357.356,0.15521,-0.08737,3.5,0.0047,-0.24,0.99,100.854499,86.597153,97.507338
2002-12-31,77.339824,860.768757,187.298322,6614.54,28.62,358.207,0.13698,-0.08693,3.2,0.0047,-0.24,0.88,100.89157499999999,86.708345,97.552335
2003-01-01,77.339824,860.768757,187.298322,6614.54,28.62,358.207,0.13629,-0.0865,3.2,0.0047,-0.24,0.88,100.89157499999999,86.708345,97.552335
2003-01-02,89.348354,828.700792,181.347919,6740.05,25.39,375.181,0.17033,-0.08065,3.2,-0.0069,-0.24,0.88,100.94035405868098,87.63298198107718,97.68706257882181
2003-01-03,80.219762,827.335385,180.472805,6772.66,24.68,373.292,0.22572,-0.08024,3.2,0.0535,-0.22,0.88,100.83738916181474,87.7101368006251,97.73298826709309
2003-01-06,80.882837,817.317741,178.415261,6837.27,24.91,377.664,0.22459,-0.07984,3.2,0.0535,-0.22,0.88,100.8248069734965,88.0937657339093,97.88778138570105
2003-01-07,72.999941,811.554455,175.673577,6802.78,25.13,376.029,0.22079,-0.07944,3.2,0.047,-0.22,0.88,100.78691815142099,88.30596446537744,98.01037833166559
2003-01-08,74.85064,808.751922,175.588072,6723.11,25.53,375.706,0.20749,-0.07905,3.2,-0.0292,-0.22,0.88,100.85755738765724,88.57600633379509,98.0082790054164
2003-01-09,84.619164,784.815933,174.58307,6772.18,24.25,387.159,0.20723,-0.07865,3.2,-0.0175,-0.22,0.88,100.98431251790848,89.55071825119325,98.03175497483414
2003-01-10,75.472238,783.047302,174.765636,6801.77,24.32,385.058,0.18952,-0.07826,3.2,-0.0849,-0.12,0.88,100.95941853069299,89.65086465550134,98.02925373296475
2003-01-13,76.3161,783.735,171.506737,6809.88,24.9,383.07,0.18858,-0.07787,3.2,-0.0849,-0.12,0.88,101.01554854952848,89.69581339446589,98.24536629830699
2003-01-14,73.740211,770.20452,170.825677,6810.98,24.57,381.36,0.17805,-0.07748,3.2,-0.1415,-0.12,0.88,101.00239632381148,90.1371120480096,98.2895614081554
2003-01-15,76.456647,761.772406,167.473849,6801.41,25.51,378.005,0.19629,-0.07709,3.2,-0.1449,-0.12,0.88,100.98238347099449,90.49202577868014,98.41800564107984
2003-01-16,71.839769,761.88706,168.952392,6827.02,25.01,380.699,0.2033,-0.09982,3.2,-0.1283,-0.12,0.88,101.02627433286673,90.51041748573809,98.31158579882835
2003-01-17,70.042103,767.224092,169.459193,6755.92,25.7,376.513,0.14375,-0.09932,3.2,-0.1583,-0.21,0.88,101.01333397945724,90.29746786000224,98.29767678690405
2003-01-20,70.042103,767.224092,169.459193,6740.37,25.7,376.513,0.14303,-0.09882,3.2,-0.1583,-0.21,0.88,101.01333397945724,90.29746786000224,98.29767678690405
2003-01-21,72.466581,773.553416,171.556793,6690.81,27.59,373.876,0.19901,-0.09833,3.2,0.1412,-0.21,0.88,101.01917257490248,90.14463746527215,98.19699009538049
2003-01-22,76.292,777.995182,173.972727,6721.28,29.01,371.355,0.19747,-0.09784,3.2,0.1412,-0.21,0.88,100.993923449343,89.9228054366745,98.0467458421536
2003-01-23,75.697884,774.08344,172.969801,6737.43,27.53,375.031,0.20052,-0.09735,3.2,0.1388,-0.21,0.88,100.99307999577599,90.10178793534006,98.098550034132
2003-01-24,73.896913,780.296855,173.022164,6664.9,31.51,373.414,0.19952,-0.09686,3.2,0.1388,-0.2,0.88,100.9624997593935,89.91855239235224,98.0950264437918
2003-01-27,75.899016,778.59125,173.837817,6556.52,34.69,372.053,0.19852,-0.09638,3.2,0.1388,-0.2,0.88,100.95302402266948,90.00117243888549,98.06003344570395
2003-01-28,81.198961,779.071078,173.61506,6570.09,31.93,370.569,0.21076,-0.09589,3.2,0.13,-0.2,0.88,100.86759105479099,90.0411415175967,98.07605349015765
2003-01-29,79.687695,772.719492,172.412437,6573.17,31.26,374.189,0.20971,-0.09541,3.2,0.13,-0.2,0.88,100.90239864816598,90.2712793385619,98.1418593687786
2003-01-30,77.337152,778.38151,172.275617,6546.33,31.32,368.761,0.20914,-0.13182,3.2,0.1524,-0.2,0.88,100.84192322919523,90.13152022684055,98.1708148528533
2003-01-31,74.88798,783.850864,169.313367,6569.49,31.17,367.751,0.20557,-0.0989,3.2,0.2402,-0.23,0.99,100.77719926600125,89.94932691815966,98.3231876980299
2003-02-03,113.367294,778.74068,167.245712,6593.68,31.02,367.536,0.19837,-0.09539,3.2,0.2186,-0.23,0.99,100.83511506571423,90.08116522256525,98.40595207456724
2003-02-04,109.869409,784.872869,167.900473,6544.93,32.76,363.017,0.20005,-0.09492,3.2,0.2217,-0.23,0.99,100.76870217755474,89.89816986169309,98.373003773421
2003-02-05,114.73114,778.395419,166.601333,6521.0,33.04,369.261,0.19905,-0.09444,3.2,0.2217,-0.23,0.99,100.88955716849999,90.15175361914629,98.43720296508451
